"","BUILDINGNA","BLOCK","ROAD","POSTALCODE","XCOORD","YCOORD"
"1","YISHUN NEIGHBOURHOOD PARK","NIL","NIL","NIL","28205.7514207744","46603.7013264713"
"2","NIL","NIL","YISHUN STREET 20","NIL","28260.732600041072","46554.16830009545"
"3","WOODLANDS WATERFRONT PARK","NIL","NIL","NIL","22078.7590028931","48285.5612141742"
"4","BEDOK RESERVOIR PARK","NIL","NIL","NIL","38241.5363126782","36081.0170359519"
"5","TEMASEK POLYTECHNIC (31 TEMASEK CULINARY ACADEMY)","35A","TAMPINES AVENUE 1","529770","38648.7191035","36538.890933"
"6","null","825","BEDOK RESERVOIR ROAD","479244","38847.3325882","36115.2786055"
"7","TEMASEK POLYTECHNIC (AMPHITHEATRE)","21","TAMPINES AVENUE 1","529757","38898.0998968","36275.889547"
"8","LENTOR GROVE PLAYGROUND","NIL","NIL","NIL","28558.3618303645","40924.8845762992"
"9","NIL","NIL","LENTOR GROVE","NIL","28552.28290004725","40927.228100016546"
"10","LENTOR ROAD PLAYGROUND","NIL","NIL","NIL","28473.5853248233","41137.910489676"
"11","LENTOR STREET PLAYGROUND","NIL","NIL","NIL","28108.0425991993","41335.3550042458"
"12","NIL","NIL","LENTOR STREET","NIL","28104.79760002014","41326.050100022294"
"13","LENTOR VILLAS","49","LENTOR CRESCENT","786716","28111.0585944","41317.2928006"
"14","LENTOR WALK PLAYGROUND","NIL","NIL","NIL","28563.2446809185","41170.4493999944"
"15","NIL","NIL","LENTOR WALK","NIL","28562.319300016567","41182.139700019914"
"16","FORT CANNING PARK","NIL","NIL","NIL","29479.5960778829","30754.344455322"
"17","WEST COAST PARK","NIL","NIL","NIL","20495.0416535198","30709.0997093298"
"18","NIL","NIL","DOBBIE RISE","NIL","29411.253599948766","30905.841899875384"
"19","THE FOOTHILLS FORT CANNING PARK","NIL","NIL","NIL","29385.5690010845","30500.3949116618"
"20","NIL","NIL","LEWIN TERRACE","NIL","29624.743500007004","30592.32129987084"
"21","NIL","NIL","JALAN BANGSAWAN","NIL","38063.97299997183","33713.243299914924"
"22","BANGSAWAN PARK","NIL","NIL","NIL","38069.6838419397","33715.750704886"
"23","EAST COAST TERRACE PARK","NIL","NIL","NIL","38070.3492687645","32588.9843155781"
"24","null","48","EAST COAST TERRACE","458948","38041.7007134","32555.7015499"
"25","null","33","EAST COAST AVENUE","459238","38055.5915689","32540.1387818"
"26","null","46","EAST COAST TERRACE","458947","38031.4856321","32590.5644255"
"27","null","44","EAST COAST TERRACE","458946","38023.0510044","32587.1863066"
"28","null","35","EAST COAST AVENUE","459240","38060.1534383","32528.9017323"
"29","FINLAND GARDENS","54","EAST COAST TERRACE","458949","38126.3179492","32587.580305"
"30","null","22","EAST COAST TERRACE","458935","38014.2020989","32545.7311248"
"31","FINLAND GARDENS","41","EAST COAST AVENUE","459246","38121.6885822","32536.3967207"
