title,rating,category,address,Postal Code,website,phoneNumber,monday,tuesday,wednesday,thursday,friday,saturday,sunday,imgUrl,placeUrl,latitude,longitude
Onyx MMA,4.5,Muay Thai boxing gym,"10 Science Centre Rd, #01-02, Singapore 609079",609079,https://www.onyxmma.com/,+65 8727 2788,7AM–10PM,7AM–10PM,7AM–10PM,7AM–10PM,7AM–10PM,9AM–4PM,9AM–2PM,https://lh5.googleusercontent.com/p/AF1QipO9uh18dvZc_cAq82pm2cThyosxatT_7obCR60S=w426-h240-k-no,https://www.google.com/maps/place/Onyx+MMA/data=!4m7!3m6!1s0x31da1abd58ba5685:0x29f0036e857e31fb!8m2!3d1.3306265!4d103.7384671!16s%2Fg%2F11b6gcfcgz!19sChIJhVa6WL0a2jER-zF-hW4D8Ck,1.3306875,103.7384375
Extreme Fitness,4.6,Gym,"1 W Coast Dr, #01-24, Singapore 128020",128020,https://www.extremefitness.sg/,+65 8522 6746,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipOU1fJZZmja0Iub0clwaGIi-FnWaKQw7-aDcaWP=w408-h306-k-no,https://www.google.com/maps/place/Extreme+Fitness/data=!4m7!3m6!1s0x31da1a8d66820b93:0x4d6a1b1feefc3006!8m2!3d1.3164853!4d103.7573965!16s%2Fg%2F11cs5px_pq!19sChIJkwuCZo0a2jERBjD87h8bak0,1.3164375,103.7574375
HomeTeamNS Fitness Workz Bukit Batok,4.7,Gym,"2 Bukit Batok West Ave 7, Singapore 659003",659003,hometeamns.sg,+65 6705 9473,7AM–10:30PM,7AM–10:30PM,7AM–10:30PM,7AM–10:30PM,7AM–10:30PM,7AM–10:30PM,7AM–10:30PM,https://lh5.googleusercontent.com/p/AF1QipOGdw2LqzqL43nJNK_UbVIW8Vnn2Rs1pdVo6UBq=w408-h306-k-no,https://www.google.com/maps/place/HomeTeamNS+Fitness+Workz+Bukit+Batok/data=!4m7!3m6!1s0x31da11cae88d10e5:0x57fb2d55c1fc8ec1!8m2!3d1.3658189!4d103.7503178!16s%2Fg%2F11b6tz3n73!19sChIJ5RCN6MoR2jERwY78wVUt-1c,1.3658125,103.7503125
Anytime Fitness,4.1,Gym,"154 West Coast Rd West Coast Plaza, 01-68, #69, Singapore 120501",120501,https://www.anytimefitness.sg/gyms/SG-0013/west-coast-south-west-120501,+65 9247 0410,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipNPYlMRrRL6BCSsPPV_A077OShRInShTgKjoWwe=w408-h306-k-no,https://www.google.com/maps/place/Anytime+Fitness/data=!4m7!3m6!1s0x31da1a938e677b2d:0xc72bbb9d2b14e506!8m2!3d1.3037119!4d103.766029!16s%2Fg%2F11cks2q7ln!19sChIJLXtnjpMa2jERBuUUK527K8c,1.3036875,103.7660625
Anytime Fitness Clementi City,4.2,Gym,"3151 Commonwealth Ave W, #03-04 Grantral Mall, Singapore 129581",129581,anytimefitness.sg,+65 8869 2174,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipMLmTxhGHCovkU5PZB5x8ODMNAQK2wZGoFzq7SG=w408-h306-k-no,https://www.google.com/maps/place/Anytime+Fitness+Clementi+City/data=!4m7!3m6!1s0x31da1b1fa2a5a411:0xb102015d8a2b9fad!8m2!3d1.3130799!4d103.7657109!16s%2Fg%2F11g0lch3b2!19sChIJEaSloh8b2jERrZ8ril0BArE,1.3130625,103.7656875
Anytime Fitness,4,Gym,"91, 05-01 Bukit Batok West Ave 2, Block C, Singapore 659206",659206,anytimefitness.sg,+65 9177 2029,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipPrIW2Vq91NQwP5J3dT7EbzCBfi26JhiMTpjbY4=w408-h253-k-no,https://www.google.com/maps/place/Anytime+Fitness/data=!4m7!3m6!1s0x31da1038f9955555:0xaeadc4fde3db7e2d!8m2!3d1.3526386!4d103.749825!16s%2Fg%2F11h5rzybt7!19sChIJVVWV-TgQ2jERLX7b4_3Era4,1.3526875,103.7498125
Fitness First - Westgate,4.1,Gym,"3 Gateway Drive mall, #05-01 Westgate, Singapore 608532",608532,https://www.fitnessfirst.com.sg/clubs/westgate?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-club-landing-page,+65 6713 9120,6AM–10PM,6AM–10PM,6AM–10PM,6AM–10PM,6AM–10PM,8AM–10PM,8AM–10PM,https://lh5.googleusercontent.com/p/AF1QipMrBwUkr6GcGWYFGbIqusaFeQT6rmRyjZm5IsOz=w408-h408-k-no,https://www.google.com/maps/place/Fitness+First+-+Westgate/data=!4m7!3m6!1s0x31da100fbfb5d5bb:0x5635fdf82fef577c!8m2!3d1.3343179!4d103.7429477!16s%2Fg%2F11b674qbt3!19sChIJu9W1vw8Q2jERfFfvL_j9NVY,1.3343125,103.7429375
Anytime Fitness Pasir Panjang,4.9,Gym,"44 Pasir Panjang Rd, Blk #A01, Singapore 118504",118504,https://www.anytimefitness.sg/gyms/sg-0036/singapore-south-west-118504/,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOsS8sgmb3gzm9__hv_Du83sGtNqvfEgIRzuwlE=w408-h544-k-no,https://www.google.com/maps/place/Anytime+Fitness+Pasir+Panjang/data=!4m7!3m6!1s0x31da1bf787e97c47:0x44d9cd3a9edc98c4!8m2!3d1.2751876!4d103.7943112!16s%2Fg%2F11fq9f_mjv!19sChIJR3zph_cb2jERxJjcnjrN2UQ,1.2751875,103.7943125
Anytime Fitness Valley Point,4.5,Gym,"Valley Point Shopping Centre 491, 02-02 River Valley Rd, Singapore 248371",248371,anytimefitness.sg,+65 8807 0227,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipNaonfAuKIaGAZ4JshGq-BEUqwLGOliS9RTi7ID=w408-h306-k-no,https://www.google.com/maps/place/Anytime+Fitness+Valley+Point/data=!4m7!3m6!1s0x31da19815b97254f:0xfc7bcacc2a2b9867!8m2!3d1.2933826!4d103.8272053!16s%2Fg%2F11b70f929f!19sChIJTyWXW4EZ2jERZ5grKszKe_w,1.2934375,103.8271875
The Loft Gym,4.7,Gym,"141 Middle Rd, #01-02, Singapore 188976",188976,https://www.loftgym.com/,+65 9247 7460,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipMmq2stZd4-4n1aZ_Doe-sK7lE1sEUdX9Td4QG7=w408-h306-k-no,https://www.google.com/maps/place/The+Loft+Gym/data=!4m7!3m6!1s0x31da19bb3da79a33:0xdf2d945cd2b2736f!8m2!3d1.2993852!4d103.8522432!16s%2Fg%2F11gdm9l_kr!19sChIJM5qnPbsZ2jERb3Oy0lyULd8,1.2994375,103.8521875
Bold Fitness,5,Gym,"2 Handy Rd, #04-05 The Cathay, Singapore 229233",229233,https://www.boldfitnesssg.com/,+65 8892 1593,6AM–10PM,6AM–10PM,6AM–10PM,6AM–10PM,6AM–10PM,7AM–7PM,7AM–7PM,https://lh5.googleusercontent.com/p/AF1QipP0dzRltM86xlYyzFTU5DsZpQAcd-_cPT7gfMde=w408-h306-k-no,https://www.google.com/maps/place/Bold+Fitness/data=!4m7!3m6!1s0x31da19a44416a9fb:0x4714772e81fb11e8!8m2!3d1.2993848!4d103.847457!16s%2Fg%2F11f5h79sg7!19sChIJ-6kWRKQZ2jER6BH7gS53FEc,1.2994375,103.8474375
Bukit Gombak ActiveSG Gym,4.2,Gym,"810 Bukit Batok West Ave. 5, Singapore 659088",659088,https://www.myactivesg.com/facilities/bukit-gombak-activesg-gym,+65 6896 2197,7AM–10PM,7AM–10PM,7AM–10PM,7AM–10PM,7AM–10PM,7AM–10PM,7AM–10PM,https://lh5.googleusercontent.com/p/AF1QipMk0yoPIsXtyvTvrXf1oPezcFo2jIkac12jTUYX=w408-h544-k-no,https://www.google.com/maps/place/Bukit+Gombak+ActiveSG+Gym/data=!4m7!3m6!1s0x31da1049c8a1332f:0xba6e5a2a1029ed0f!8m2!3d1.3596884!4d103.7521939!16s%2Fg%2F11bbrls5d5!19sChIJLzOhyEkQ2jERD-0pECpabro,1.3596875,103.7521875
Ritual Gym Holland Village,4.8,Gym,"17B Lor Liput, #02-01, Singapore 277747",277747,https://www.ritualgym.com/,+65 6463 4690,"6:30AM–12:30PM, 2:30–8:30PM","6:30AM–12:30PM, 2:30–8:30PM","6:30AM–12:30PM, 2:30–8:30PM","6:30AM–12:30PM, 2:30–8:30PM","6:30AM–12:30PM, 2:30–8:30PM",9AM–6PM,9AM–6PM,https://lh5.googleusercontent.com/p/AF1QipPRhDO08fTxSP2oIEdYnpnCCe44i348HGldVcpK=w408-h291-k-no,https://www.google.com/maps/place/Ritual+Gym+Holland+Village/data=!4m7!3m6!1s0x31da1a6a53159d55:0x1d9c7be77bf68d01!8m2!3d1.3104189!4d103.7950617!16s%2Fg%2F11c50mdtk0!19sChIJVZ0VU2oa2jERAY32e-d7nB0,1.3104375,103.7950625
Anytime Fitness Potong Pasir,4.2,Gym,"SG, Tai Thong Cres, 15, Singapore 347849",347849,anytimefitness.sg,+65 8748 8208,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipME4nVi5gYyzGSR_1uuHC3s3OGMJApvhLz6imlT=w408-h272-k-no,https://www.google.com/maps/place/Anytime+Fitness+Potong+Pasir/data=!4m7!3m6!1s0x31da1781b7d89047:0xb4dcf0212d95d511!8m2!3d1.329343!4d103.8694769!16s%2Fg%2F11g0lcgdfq!19sChIJR5DYt4EX2jEREdWVLSHw3LQ,1.3293125,103.8694375
Platinum Fitness OUE – #1 Freelance PT Gym in Singapore,4.3,Gym,"6A Shenton Way, B1-04/05 OUE Downtown, Singapore 068815",068815,https://www.platinumfitness.sg/,+65 8445 5439,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipO3zKX7ZQ3ByuXGqKwOLOw9h_H6nCGnXmEiUWzf=w408-h272-k-no,https://www.google.com/maps/place/Platinum+Fitness+OUE+%E2%80%93+%231+Freelance+PT+Gym+in+Singapore/data=!4m7!3m6!1s0x31da19256e123e1f:0xdc56ae1c9f4f107c!8m2!3d1.2771468!4d103.8485274!16s%2Fg%2F11gv0pqbz8!19sChIJHz4SbiUZ2jERfBBPnxyuVtw,1.2771875,103.8485625
Anytime Fitness Choa Chu Kang,4.3,Gym,"190 Choa Chu Kang Ave 1, Singapore 689466",689466,anytimefitness.sg,+65 9040 8302,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipMyb73TYiC0O4MK6UFz-mgKGlQSsn_0Mu_iz69x=w408-h544-k-no,https://www.google.com/maps/place/Anytime+Fitness+Choa+Chu+Kang/data=!4m7!3m6!1s0x31da11f5bedf24e7:0x2222989f2593fe9c!8m2!3d1.376882!4d103.745252!16s%2Fg%2F11h4ktt8w2!19sChIJ5yTfvvUR2jERnP6TJZ-YIiI,1.3769375,103.7453125
WAO Fitness,5,Gym,"200 Turf Club Rd, Plot 9 Premier Pitch Indoors, Singapore 287994",287994,https://waofitness.sg/,+65 8825 4066,"6AM–1PM, 4–10PM","6AM–1PM, 4–10PM","6AM–1PM, 4–10PM","6AM–1PM, 4–10PM","6AM–1PM, 4–10PM","7AM–2PM, 4–6PM","8AM–2PM, 3–6PM",https://lh5.googleusercontent.com/p/AF1QipOXb-RFwOjn1YAWVjxRtw35rQ0J1CKZJOsIPOWo=w408-h272-k-no,https://www.google.com/maps/place/WAO+Fitness/data=!4m7!3m6!1s0x31da119c0c6b95c7:0xea910e3c1e2f56fb!8m2!3d1.3357867!4d103.7941644!16s%2Fg%2F11n0gm170n!19sChIJx5VrDJwR2jER-1YvHjwOkeo,1.3358125,103.7941875
Anytime Fitness Buona Vista,4.7,Gym,"11 Biopolis Way, #01-04/05/06/07 Helios, Singapore 138667",138667,anytimefitness.sg,+65 8588 3815,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipOpuvESSqh6ClagsLNI_0HMxGXARx6E4Xch-LE=w426-h240-k-no,https://www.google.com/maps/place/Anytime+Fitness+Buona+Vista/data=!4m7!3m6!1s0x31da1b34f6fe5b4b:0xe3f26f4111cd7ced!8m2!3d1.3045201!4d103.7916515!16s%2Fg%2F11n3969q7j!19sChIJS1v-9jQb2jER7XzNEUFv8uM,1.3045625,103.7916875
Anytime Fitness Kim Seng CC,5,Gym,"570 Havelock Road 01-14/15 & #02-11/12, 13 Kim Seng Rd, Community Center, Singapore 169640",169640,anytimefitness.sg,+65 8023 8071,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipOVm7vjDZQ4h2amOSKYI4SbEyEWU3NVQog8h-gS=w426-h240-k-no,https://www.google.com/maps/place/Anytime+Fitness+Kim+Seng+CC/data=!4m7!3m6!1s0x31da1905b4b911b1:0xf489ca429d4aeede!8m2!3d1.2894076!4d103.8310728!16s%2Fg%2F11q7fpc10j!19sChIJsRG5tAUZ2jER3u5KnULKifQ,1.2894375,103.8310625
Fitness First - Fusionopolis,4.2,Gym,"1 Fusionopolis Way #23-11 & #24-00 Connexis North Tower, Singapore 138632",138632,https://www.fitnessfirst.com.sg/clubs/fusionopolis?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-club-landing-page,+65 6713 9120,6AM–10PM,6AM–10PM,6AM–10PM,6AM–10PM,6AM–10PM,7AM–7PM,8AM–6PM,https://lh5.googleusercontent.com/p/AF1QipM6cOYH6JEqroypRzg9VJiWEKJWU0MaFwhEclbx=w408-h306-k-no,https://www.google.com/maps/place/Fitness+First+-+Fusionopolis/data=!4m7!3m6!1s0x31da1a4545e6d565:0x98ec263d953f9f2f!8m2!3d1.299411!4d103.7883765!16s%2Fg%2F11b67h76kf!19sChIJZdXmRUUa2jERL58_lT0m7Jg,1.2994375,103.7884375
Fitness First - The Metropolis,4.4,Gym,"11 North Buona Vista Drive, #02-07 & #03-07, The Metropolis, Tower 2, Singapore 138589",138589,https://www.fitnessfirst.com.sg/clubs/the-metropolis?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-club-landing-page,+65 6713 9120,6AM–10PM,6AM–10PM,6AM–10PM,6AM–10PM,6AM–10PM,7AM–7PM,Closed,https://lh5.googleusercontent.com/p/AF1QipO-c3-6SCG-Y1n780tNrS6QXKILZbVulSw5mokA=w408-h306-k-no,https://www.google.com/maps/place/Fitness+First+-+The+Metropolis/data=!4m7!3m6!1s0x31da1a42345e07b5:0x8d3e76b447bc896a!8m2!3d1.3055177!4d103.7919789!16s%2Fg%2F11b67l1v7n!19sChIJtQdeNEIa2jERaom8R7R2Po0,1.3055625,103.7919375
Anytime Fitness Buangkok,4.3,Gym,"21 Hougang Street 51 02, #13A Green Shopping Mall, Singapore 538719",538719,anytimefitness.sg,+65 8555 3059,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipNoo5ds4Sv2ywf4RhCVibTIIV6S85mZklGH9u2W=w648-h240-k-no,https://www.google.com/maps/place/Anytime+Fitness+Buangkok/data=!4m7!3m6!1s0x31da16411963b5ad:0x690f6c04a0be4672!8m2!3d1.3792867!4d103.8878404!16s%2Fg%2F11c6_b7w4r!19sChIJrbVjGUEW2jERcka-oARsD2k,1.3793125,103.8878125
MAX OUT Fitness,5,Gym,"181 Orchard Rd, #06-25 Central, Orchard, Singapore 238896",238896,https://www.maxoutfitness-sg.com/,+65 9298 3169,7AM–10PM,7AM–10PM,7AM–10PM,7AM–10PM,7AM–10PM,7AM–6PM,7AM–6PM,https://lh5.googleusercontent.com/p/AF1QipPj8YVNimcI4oCwp0O2xQQYKqs0gjwdKJxeaAi3=w408-h544-k-no,https://www.google.com/maps/place/MAX+OUT+Fitness/data=!4m7!3m6!1s0x31da1994f4680eb5:0x101a34b1c626d0b!8m2!3d1.3006242!4d103.8398658!16s%2Fg%2F11mhllk8gr!19sChIJtQ5o9JQZ2jERC21iHEujAQE,1.3005625,103.8398125
Anytime Fitness Toa Payoh,4.2,Gym,"190 Lor 6 Toa Payoh, #02-516 Next to Pizza Hut, Singapore 310190",310190,anytimefitness.sg,+65 8379 8092,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipPv_hipqy1OEu6voDM8TaB4a7uK6kHDuTwX67ZN=w631-h240-k-no,https://www.google.com/maps/place/Anytime+Fitness+Toa+Payoh/data=!4m7!3m6!1s0x31da1766ce3d8b97:0xe51212550a25d516!8m2!3d1.333059!4d103.8494186!16s%2Fg%2F11b6362gbk!19sChIJl4s9zmYX2jERFtUlClUSEuU,1.3330625,103.8494375
JR Fitness Singapore (City Hall),4.7,Fitness center,"1 Coleman Street B1-19 The Adelphi, Singapore 179803",179803,jrfitness.com.sg,+65 6909 5382,12:30–10PM,12:30–10PM,12:30–10PM,12:30–10PM,12:30–10PM,Closed,Closed,https://lh5.googleusercontent.com/p/AF1QipMQEdIgJtRDulrj-tPBb8E_twmYSTdBdhNbJgTM=w408-h271-k-no,https://www.google.com/maps/place/JR+Fitness+Singapore+(City+Hall)/data=!4m7!3m6!1s0x31da19affc46b8c3:0xb42921cbc9520f5d!8m2!3d1.2913131!4d103.8512472!16s%2Fg%2F11fxw86hj7!19sChIJw7hG_K8Z2jERXQ9SycshKbQ,1.29125,103.85125
