town,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,LATITUDE,LONGITUDE,LONGTITUDE,SEARCHED
ANG MO KIO,406 ANG MO KIO AVE 10,406,ANG MO KIO AVENUE 10,NIL,406 ANG MO KIO AVENUE 10 SINGAPORE 560406,560406,1.362004539,103.8538799,103.8538799,1
ANG MO KIO,108 ANG MO KIO AVE 4,108,ANG MO KIO AVENUE 4,KEBUN BARU HEIGHTS,108 ANG MO KIO AVENUE 4 KEBUN BARU HEIGHTS SINGAPORE 560108,560108,1.370966352,103.8382019,103.8382019,1
ANG MO KIO,602 ANG MO KIO AVE 5,602,ANG MO KIO AVENUE 5,YIO CHU KANG GREEN,602 ANG MO KIO AVENUE 5 YIO CHU KANG GREEN SINGAPORE 560602,560602,1.38070883,103.8353682,103.8353682,1
ANG MO KIO,465 ANG MO KIO AVE 10,465,ANG MO KIO AVENUE 10,TECK GHEE HORIZON,465 ANG MO KIO AVENUE 10 TECK GHEE HORIZON SINGAPORE 560465,560465,1.366201041,103.857201,103.857201,1
ANG MO KIO,601 ANG MO KIO AVE 5,601,ANG MO KIO AVENUE 5,MY FIRST SKOOL,601 ANG MO KIO AVENUE 5 MY FIRST SKOOL SINGAPORE 560601,560601,1.381041348,103.8351317,103.8351317,1
ANG MO KIO,150 ANG MO KIO AVE 5,150,ANG MO KIO AVENUE 5,YIO CHU KANG GROVE,150 ANG MO KIO AVENUE 5 YIO CHU KANG GROVE SINGAPORE 560150,560150,1.376806785,103.842018,103.842018,1
ANG MO KIO,447 ANG MO KIO AVE 10,447,ANG MO KIO AVENUE 10,LITTLE CHAMPS SCHOOLHOUSE (MONTESSORI) PTE. LTD.,447 ANG MO KIO AVENUE 10 LITTLE CHAMPS SCHOOLHOUSE (MONTESSORI) PTE. LTD. SINGAPORE 560447,560447,1.367503711,103.855898,103.855898,1
ANG MO KIO,218 ANG MO KIO AVE 1,218,ANG MO KIO AVENUE 1,ANG MO KIO GROVE,218 ANG MO KIO AVENUE 1 ANG MO KIO GROVE SINGAPORE 560218,560218,1.365119086,103.8417425,103.8417425,1
ANG MO KIO,571 ANG MO KIO AVE 3,571,ANG MO KIO AVENUE 3,MY FIRST SKOOL,571 ANG MO KIO AVENUE 3 MY FIRST SKOOL SINGAPORE 560571,560571,1.370055004,103.8548806,103.8548806,1
ANG MO KIO,534 ANG MO KIO AVE 10,534,ANG MO KIO AVENUE 10,CHENG SAN VIEW,534 ANG MO KIO AVENUE 10 CHENG SAN VIEW SINGAPORE 560534,560534,1.374058463,103.8541682,103.8541682,1
ANG MO KIO,233 ANG MO KIO AVE 3,233,ANG MO KIO AVENUE 3,KEBUN BARU PALM VIEW,233 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560233,560233,1.36754925,103.8367406,103.8367406,1
ANG MO KIO,235 ANG MO KIO AVE 3,235,ANG MO KIO AVENUE 3,KEBUN BARU PALM VIEW,235 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560235,560235,1.366823609,103.8364912,103.8364912,1
ANG MO KIO,219 ANG MO KIO AVE 1,219,ANG MO KIO AVENUE 1,ANG MO KIO GROVE,219 ANG MO KIO AVENUE 1 ANG MO KIO GROVE SINGAPORE 560219,560219,1.36598198,103.840654,103.840654,1
ANG MO KIO,536 ANG MO KIO AVE 10,536,ANG MO KIO AVENUE 10,CHENG SAN VIEW,536 ANG MO KIO AVENUE 10 CHENG SAN VIEW SINGAPORE 560536,560536,1.374473785,103.8541005,103.8541005,1
ANG MO KIO,230 ANG MO KIO AVE 3,230,ANG MO KIO AVENUE 3,KEBUN BARU PALM VIEW,230 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560230,560230,1.368854452,103.8378964,103.8378964,1
ANG MO KIO,570 ANG MO KIO AVE 3,570,ANG MO KIO AVENUE 3,CHENG SAN COURT,570 ANG MO KIO AVENUE 3 CHENG SAN COURT SINGAPORE 560570,560570,1.369743586,103.8560231,103.8560231,1
ANG MO KIO,624 ANG MO KIO AVE 4,624,ANG MO KIO AVENUE 4,NIL,624 ANG MO KIO AVENUE 4 SINGAPORE 560624,560624,1.381561712,103.8400023,103.8400023,1
ANG MO KIO,441 ANG MO KIO AVE 10,441,ANG MO KIO AVENUE 10,NIL,441 ANG MO KIO AVENUE 10 SINGAPORE 560441,560441,1.366050278,103.8541683,103.8541683,1
ANG MO KIO,625 ANG MO KIO AVE 9,625,ANG MO KIO AVENUE 9,YIO CHU KANG HEIGHTS,625 ANG MO KIO AVENUE 9 YIO CHU KANG HEIGHTS SINGAPORE 560625,560625,1.382198677,103.8412115,103.8412115,1
ANG MO KIO,119 ANG MO KIO AVE 3,119,ANG MO KIO AVENUE 3,NIL,119 ANG MO KIO AVENUE 3 SINGAPORE 560119,560119,1.369563443,103.8446989,103.8446989,1
