PLN_AREA_N,CHINESE_M,MALAYS_M,INDIAN_M,OTHERS_M,CHINESE_F,MALAYS_F,INDIAN_F,OTHERS_F,TOTAL_M,TOTAL_F,TOTAL_CHINESE,TOTAL_MALAYS,TOTAL_INDIAN,TOTAL_OTHERS,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_over,total,SEARCHED
ANG MO KIO,68860,6440,7040,1900,74410,6650,7120,2400,84240,90580,143270,13090,14160,4300,6790,7660,8290,9320,10310,11170,12250,13070,13710,13000,14010,13800,12980,11050,6670,5140,3250,2300,174770,1
BEDOK,101010,21640,12880,5690,107870,22360,12210,6100,141220,148540,208880,44000,25090,11790,11690,13400,14750,16930,19450,19860,19270,20850,22520,21460,23430,23380,20590,16750,9310,7330,4760,4010,289750,1
BISHAN,37480,1790,3530,1320,39740,1980,3470,1400,44120,46590,77220,3770,7000,2720,3430,4330,4710,5520,6860,6460,5720,6000,7070,6800,7540,7700,6360,4860,2730,2140,1370,1090,90700,1
BOON LAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BUKIT BATOK,50050,9690,7040,1880,52030,9880,6670,2030,68660,70610,102080,19570,13710,3910,5510,6890,7970,9240,10070,10460,9760,9940,10980,11310,12190,11770,9370,5990,3060,2230,1450,1090,139270,1
BUKIT MERAH,58890,6740,7720,2110,63740,6690,7410,2580,75460,80420,122630,13430,15130,4690,3530,3720,3220,3440,3870,4810,5860,6760,6470,5540,5530,5780,5700,5440,3580,3110,2070,1980,80390,1
CHOA CHU KANG,61390,14940,8370,2310,62070,14680,8110,2490,87010,87350,123460,29620,16480,4800,3630,4840,5700,7670,7810,6080,5530,5670,6430,7680,8360,6830,4660,2830,1400,980,550,340,86990,1
BUKIT PANJANG,51210,11210,5270,1500,52090,11020,5040,1740,69190,69890,103300,22230,10310,3240,7330,7630,8460,9420,10400,10980,10690,10010,11180,10540,11620,10680,7880,5190,2740,2000,1290,1010,139030,1
JURONG EAST,29750,6800,4800,900,30350,6940,4340,1060,42250,42690,60100,13740,9140,1960,3290,3880,4550,4970,5760,6570,6360,6070,6530,6240,6720,7020,6420,4760,2360,1690,1040,760,84980,1
QUEENSTOWN,36130,4210,4050,1870,41300,4490,3960,2100,46260,51850,77430,8700,8010,3970,4450,4510,4360,4750,5290,6150,7110,7650,8050,7610,7500,6730,6150,5900,3950,3700,2420,1780,98050,1
JURONG WEST,95460,24480,14420,3150,94730,24150,12660,3550,137510,135090,190190,48630,27080,6700,13600,15900,16700,18020,19070,19930,22540,23410,23070,21680,20670,19100,15870,10820,5250,3550,2080,1410,272660,1
BUKIT TIMAH,29740,310,1760,2880,34420,460,1900,3050,34690,39830,64160,770,3660,5930,3140,4660,4810,4820,4980,4310,3770,4940,6630,6330,5820,5330,4550,3930,2380,1880,1210,1000,74470,1
CENTRAL WATER CATCHMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
CHANGI,580,390,250,80,620,330,220,60,1300,1230,1200,720,470,140,180,230,220,150,130,100,170,240,290,220,140,120,90,90,50,30,30,40,2530,1
CHANGI BAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TENGAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CLEMENTI,33510,4930,3830,1580,37140,5030,3790,1790,43850,47750,70650,9960,7620,3370,3910,4420,4480,4690,4850,5820,6630,7310,7600,6950,6960,6550,6630,6200,3350,2600,1480,1200,91630,1
GEYLANG,43530,7540,5200,1790,44500,7730,4700,1940,58060,58870,88030,15270,9900,3730,2190,2540,2700,3110,3710,4040,4230,4540,4540,4350,4620,4620,3980,3330,2050,1840,1330,1180,58870,1
HOUGANG,89230,8800,9320,2200,92460,8850,8730,2720,109550,112760,181690,17650,18050,4920,8390,10010,11670,14390,16830,16650,15010,14840,16700,17010,19620,19270,15060,10830,5970,4670,3050,2340,222310,1
PIONEER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PUNGGOL,41890,7100,3950,1180,43010,7390,3770,1510,54120,55680,84900,14490,7720,2690,12000,9200,6190,4450,3940,6750,15690,13400,10610,6500,5540,4730,3960,3020,1560,1040,660,510,109750,1
SELETAR,80,0,20,30,90,0,10,30,130,130,170,0,30,60,10,10,10,10,0,0,0,10,20,20,20,10,10,0,0,0,0,0,140,1
SEMBAWANG,27400,5050,3740,1640,28200,5260,3440,1680,37830,38580,55600,10310,7180,3320,4460,5400,5370,4820,4490,5120,6380,7200,7650,6110,5670,4890,3440,2210,1280,930,620,490,76530,1
SENGKANG,79060,11130,9230,2380,81520,11460,8970,2940,101800,104890,160580,22590,18200,5320,7460,7480,6130,5730,5420,7870,11430,10820,9450,7030,6740,6350,4660,3350,1790,1390,970,830,104890,1
SERANGOON,48870,2580,5380,1560,52570,2590,5370,1740,58390,62270,101440,5170,10750,3300,2090,2600,3210,4080,4660,4560,3620,3490,3980,4080,4690,5180,4540,3330,1690,1300,790,510,58380,1
SIMPANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SOUTHERN ISLANDS,360,10,70,280,440,20,70,220,720,750,800,30,140,500,90,90,80,90,80,70,60,120,160,200,180,110,70,40,20,10,10,0,1480,1
SUNGEI KADUT,320,0,50,10,340,0,50,20,380,410,660,0,100,30,20,20,20,20,20,30,30,20,40,40,20,40,30,30,20,20,10,10,430,1
TAMPINES,85610,27760,11010,3810,89860,28250,10550,4380,128190,133040,175470,56010,21560,8190,11210,12260,13820,18180,21380,20420,18820,18000,18310,19840,22810,22490,17360,11470,5500,4300,2830,2240,261230,1
TANGLIN,6420,80,920,1370,7750,110,1010,1360,8790,10230,14170,190,1930,2730,930,1290,1110,1010,960,880,1140,1580,1990,1800,1530,1260,1140,940,540,380,250,270,19000,1
TOA PAYOH,48630,4910,4720,1600,53620,4990,4580,1920,59860,65110,102250,9900,9300,3520,5040,5650,5740,6470,7330,7620,8440,9040,10140,9440,9730,9910,8290,7410,5040,4500,2810,2350,124940,1
TUAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WESTERN ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WESTERN WATER CATCHMENT,320,0,40,30,410,0,50,40,390,500,730,0,90,70,40,50,50,40,130,80,40,90,100,60,60,60,40,10,10,10,10,30,900,1
WOODLANDS,77050,31350,14470,2990,76690,30960,13330,3390,125860,124370,153740,62310,27800,6380,11960,14430,17000,21030,20050,17920,18460,18680,21110,22230,21060,16810,11640,7630,4060,3090,1890,1250,250290,1
YISHUN,70240,16950,10320,2520,72060,16990,9930,3000,100030,101980,142300,33940,20250,5520,5250,5060,5410,6270,7380,8350,8350,7540,7480,7350,8580,7860,6250,4080,2110,1440,770,470,99990,1
DOWNTOWN CORE,1350,20,160,200,1470,20,140,140,1730,1770,2820,40,300,340,120,100,100,120,140,210,330,370,360,330,280,280,250,250,140,140,70,130,3720,1
MARINA EAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MARINA SOUTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MUSEUM,100,0,30,70,120,0,10,50,200,180,220,0,40,120,10,10,0,10,0,0,20,30,30,10,30,10,10,10,0,0,10,10,190,1
NEWTON,2190,10,380,640,2660,40,380,580,3220,3660,4850,50,760,1220,300,470,330,330,340,340,400,580,740,660,610,470,430,360,180,160,120,110,6920,1
ORCHARD,260,0,40,130,350,0,40,100,430,490,610,0,80,230,10,30,20,10,10,30,30,30,40,40,40,40,40,30,20,10,0,10,430,1
OUTRAM,8970,980,880,270,9060,950,700,280,11100,10990,18030,1930,1580,550,1290,1080,710,750,830,1160,1680,2140,1730,1470,1590,1650,1590,1470,930,850,550,610,22080,1
KALLANG,37400,4050,7590,1390,38390,3920,6900,1570,50430,50780,75790,7970,14490,2960,4340,4440,4480,4750,5120,6120,7250,8260,8610,7770,7820,7840,7060,6100,3910,3400,2130,1810,101210,1
LIM CHU KANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MANDAI,810,40,120,30,900,60,120,40,1000,1120,1710,100,240,70,50,50,70,80,60,70,70,70,90,80,80,70,50,40,30,20,10,10,1000,1
MARINE PARADE,17070,1690,2930,1280,19560,1820,3090,1310,22970,25780,36630,3510,6020,2590,2180,2710,2690,2600,2690,2610,2880,3860,4580,3830,3680,3370,2890,2760,1780,1650,1030,940,48730,1
NORTH-EASTERN ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NOVENA,18650,1040,2150,1340,20210,1080,2060,1490,23180,24840,38860,2120,4210,2830,2260,2770,2510,2540,2570,2640,3030,3980,4510,3910,3710,3360,2860,2460,1590,1380,980,930,47990,1
PASIR RIS,46150,14120,6150,2730,47750,14320,5760,2920,69150,70750,93900,28440,11910,5650,2800,3440,4380,6000,6510,4480,4110,4920,5420,7190,6830,5020,3330,2250,1300,1100,840,810,70740,1
PAYA LEBAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1
RIVER VALLEY,2940,40,590,720,3520,60,690,690,4290,4960,6460,100,1280,1410,190,230,240,180,190,220,250,380,500,450,350,310,260,230,120,80,50,50,4260,1
ROCHOR,5100,320,1710,280,5370,330,1260,250,7410,7210,10470,650,2970,530,550,570,580,610,690,890,1050,1270,1260,1060,1110,1130,1050,900,620,510,340,400,14590,1
SINGAPORE RIVER,840,10,120,350,1030,10,110,270,1320,1420,1870,20,230,620,120,90,70,50,50,60,170,180,210,120,80,70,50,40,20,20,10,10,1410,1
STRAITS VIEW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
