title,category,address,Postal Code,latitude,longitude
Onyx MMA,Muay Thai boxing gym,"10 Science Centre Rd, #01-02, Singapore 609079",609079,1.3306875,103.7384375
Extreme Fitness,Gym,"1 W Coast Dr, #01-24, Singapore 128020",128020,1.3164375,103.7574375
HomeTeamNS Fitness Workz Bukit Batok,Gym,"2 Bukit Batok West Ave 7, Singapore 659003",659003,1.3658125,103.7503125
Anytime Fitness,Gym,"154 West Coast Rd West Coast Plaza, 01-68, #69, Singapore 120501",120501,1.3036875,103.7660625
Anytime Fitness Clementi City,Gym,"3151 Commonwealth Ave W, #03-04 Grantral Mall, Singapore 129581",129581,1.3130625,103.7656875
Anytime Fitness,Gym,"91, 05-01 Bukit Batok West Ave 2, Block C, Singapore 659206",659206,1.3526875,103.7498125
Fitness First - Westgate,Gym,"3 Gateway Drive mall, #05-01 Westgate, Singapore 608532",608532,1.3343125,103.7429375
Anytime Fitness Pasir Panjang,Gym,"44 Pasir Panjang Rd, Blk #A01, Singapore 118504",118504,1.2751875,103.7943125
Anytime Fitness Valley Point,Gym,"Valley Point Shopping Centre 491, 02-02 River Valley Rd, Singapore 248371",248371,1.2934375,103.8271875
The Loft Gym,Gym,"141 Middle Rd, #01-02, Singapore 188976",188976,1.2994375,103.8521875
Bold Fitness,Gym,"2 Handy Rd, #04-05 The Cathay, Singapore 229233",229233,1.2994375,103.8474375
Bukit Gombak ActiveSG Gym,Gym,"810 Bukit Batok West Ave. 5, Singapore 659088",659088,1.3596875,103.7521875
Ritual Gym Holland Village,Gym,"17B Lor Liput, #02-01, Singapore 277747",277747,1.3104375,103.7950625
Anytime Fitness Potong Pasir,Gym,"SG, Tai Thong Cres, 15, Singapore 347849",347849,1.3293125,103.8694375
Platinum Fitness OUE – #1 Freelance PT Gym in Singapore,Gym,"6A Shenton Way, B1-04/05 OUE Downtown, Singapore 068815",68815,1.2771875,103.8485625
Anytime Fitness Choa Chu Kang,Gym,"190 Choa Chu Kang Ave 1, Singapore 689466",689466,1.3769375,103.7453125
WAO Fitness,Gym,"200 Turf Club Rd, Plot 9 Premier Pitch Indoors, Singapore 287994",287994,1.3358125,103.7941875
Anytime Fitness Buona Vista,Gym,"11 Biopolis Way, #01-04/05/06/07 Helios, Singapore 138667",138667,1.3045625,103.7916875
Anytime Fitness Kim Seng CC,Gym,"570 Havelock Road 01-14/15 & #02-11/12, 13 Kim Seng Rd, Community Center, Singapore 169640",169640,1.2894375,103.8310625
Fitness First - Fusionopolis,Gym,"1 Fusionopolis Way #23-11 & #24-00 Connexis North Tower, Singapore 138632",138632,1.2994375,103.7884375
Fitness First - The Metropolis,Gym,"11 North Buona Vista Drive, #02-07 & #03-07, The Metropolis, Tower 2, Singapore 138589",138589,1.3055625,103.7919375
Anytime Fitness Buangkok,Gym,"21 Hougang Street 51 02, #13A Green Shopping Mall, Singapore 538719",538719,1.3793125,103.8878125
MAX OUT Fitness,Gym,"181 Orchard Rd, #06-25 Central, Orchard, Singapore 238896",238896,1.3005625,103.8398125
Anytime Fitness Toa Payoh,Gym,"190 Lor 6 Toa Payoh, #02-516 Next to Pizza Hut, Singapore 310190",310190,1.3330625,103.8494375
JR Fitness Singapore (City Hall),Fitness center,"1 Coleman Street B1-19 The Adelphi, Singapore 179803",179803,1.29125,103.85125
Innervate Fitness,Gym,"398 Race Course Rd, Singapore 218651",218651,1.3151875,103.8574375
"Anytime Fitness, Telok Blangah",Gym,"Blk 78B, 02-15 Telok Blangah Street 32, Singapore 102078",102078,1.2736875,103.8084375
Actualize CrossFit,Gym,"251 Jln Besar, Singapore 208924",208924,1.3099375,103.8580625
Anytime Fitness Geylang Bahru,Gym,"1 Geylang Bahru Ln, #01-03 Kolam Ayer Community Club, Singapore 339631",339631,1.3243125,103.8696875
Fitness First - Clementi,Gym,"321 Clementi Avenue 3 6th, #7th floor &, Singapore 129905",129905,1.3120625,103.7649375
CHIMPCHAMP FITNESS (OG),Fitness center,"277 Orchard Rd, #02-12, Singapore 238858",238858,1.3008125,103.8390625
EXTREMER GYM PTE. LTD.,Gym,"116 Yio Chu Kang Rd, Singapore 545582",545582,1.3585625,103.8744375
Anytime Fitness,Gym,"170 Upper Bukit Timah Rd, Bukit Timah Shopping Centre, Singapore 588179",588179,1.3429375,103.7759375
Amore Fitness & Define,Gym,"17 Petir Rd, #B1-18, Singapore 678278",678278,1.3785625,103.7626875
IGYM@BISHAN,Gym,"272 Bishan Street 24, B1-228, Singapore 570272",570272,1.3563125,103.8426875
Toa Payoh ActiveSG Gym,Gym,"301 Lor 6 Toa Payoh, Singapore 319392",319392,1.3304375,103.8508125
Bespoke Fitness,Gym,"318A Tanglin Rd, The Guild International College, Singapore 247979",247979,1.2983125,103.8158125
Anytime Fitness,Gym,"302 Tiong Bahru Rd, #01-129 Tiong Bahru Plaza, Tiong Bahru Rd, Singapore 168732",168732,1.2863125,103.8264375
Anytime Fitness Taman Jurong,Gym,"1 Yung Sheng Rd, #01-02 Taman Jurong Community Club, Singapore 618495",618495,1.3351875,103.7215625
Dennis gym Balestier,Fitness center,"279 Balestier Rd, b1-00, Singapore 329727",329727,1.3228125,103.8519375
Anytime Fitness Marymount CC,Gym,"191 Sin Ming Avenue #03-01, Marymount Community Club, Singapore 575738",575738,1.3613125,103.8415625
Anytime Fitness hillV2,Gym,"4 Hillview Rise, #02-18/19, Singapore 667979",667979,1.3630625,103.7641875
THE GYM,Gym,"42 E Coast Rd, #01-01, Singapore 428762",428762,1.3043125,103.9029375
The Gym Pod @ One North,Gym,"Ayer Rajah Crescent, Singapore 139957",139957,1.2976875,103.7871875
SAFRA EnergyOne (SAFRA Toa Payoh),Gym,"295 Lor 6 Toa Payoh, Singapore 319388",319388,1.3299375,103.8544375
Fit · Bloc,Rock climbing gym,"87 Science Park Dr, #03-02 The Oasis, Singapore 118260",118260,1.2878125,103.7904375
ActiveSG Gym at Toa Payoh West CC,Gym,"Level 3 200 Lorong 2 Toa Payoh WEST COMMUNITY CLUB, Singapore 319642",319642,1.3351875,103.8451875
Star Elite Fitness Personal Training Gym in Orchard,Gym,"8 Grange Rd, #03-01 Cineleisure Orchard, Singapore 239695",239695,1.3015625,103.8363125
Anytime Fitness Hougang CC,Gym,"35 Hougang Ave 3, #02-01, Singapore 538840",538840,1.3646875,103.8925625
Anytime Fitness Kovan,Gym,"JForte Sportainment Centre, 50 Hougang Ave 1, Level 2, Singapore 538885",538885,1.3603125,103.8880625
Fitness Factory,Personal trainer,"82 Boat Quay, #02-01, Singapore 049870",49870,1.2884375,103.8493125
Clementi ActiveSG Gym,Gym,"518 Clementi Ave 3, Singapore 129907",129907,1.3109375,103.7650625
