"","OBJECTID","INFORMATIO","OPENINGHOU","OPENINGH_1","OPENINGH_2","FACILITIES","SPORTS","TAGS","POSTAL_COD","ADDRESS","SCHOOL_NAM","INC_CRC","FMEL_UPD_D","X_ADDR","Y_ADDR"
"1",1,"https://www.myactivesg.com/facilities/school-facilities/changkat-changi-secondary-school-field",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Changkat Changi Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Footbal","529894","23 Simei Street 3","Changkat Changi Secondary School","2DAE45BAE0E8C88C",2015-02-11,41288.6694,35836.1645
"2",2,"https://www.myactivesg.com/facilities",NA,NA,NA,"Chargeable Field, Basketball Court","Football, Basketball","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Chestnut Drive Secondary School, Chargeable Field, Free To Play Basketball Court, FTP, CF, Sport Si","679301","58 Chestnut Drive","Chestnut Drive Secondary School","7D3B1FD7844FD20E",2015-02-11,21042.4239,38992.575
"3",3,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field","Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Chua Chu Kang Primary School, Free To Play Field, FTP, Sport Singapore, SportSG, ActiveSG, Free Pla","689905","20 Choa Chu Kang Avenue 2","Chua Chu Kang Primary School","F21D87FCC959D516",2015-02-11,17817.5828,39951.9594
"4",4,"https://www.myactivesg.com/facilities/school-facilities/chua-chu-kang-secondary-school-field",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Choa Chu Kang Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","688845","3 Teck Whye Crescent","Choa Chu Kang Secondary School","96E6C5B23BA0E45E",2015-02-11,18936.7297,40571.8253
"5",5,"https://www.myactivesg.com/facilities/school-facilities/clementi-primary-school-hall",NA,NA,NA,"Indoor Sports Hall","Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Clementi Primary School, Indoor Sports Hall, ISH, Sport Singapore, SportSG, ActiveSG, Badminton","129903","8 Clementi Avenue 3","Clementi Primary School","792E9E14449CD9F6",2015-02-11,20170.5091,33037.9837
"6",6,"https://www.myactivesg.com/facilities/school-facilities/clementi-town-secondary-school-field",NA,NA,NA,"Chargeable Field, Indoor Sports Hall","Football, Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Clementi Town Secondary School, Chargeable Field, Indoor Sports Hall, CF, ISH, Sport Singapore, Spo","129904","10 Clementi Avenue 3","Clementi Town Secondary School","60B5598FDD9E9B3C",2015-02-11,20065.2211,33091.2644
"7",7,"https://www.myactivesg.com/facilities/school-facilities/clementi-woods-secondary-school-field",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Clementi Woods Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","127443","170 West Coast Road","Clementi Woods Secondary School","F7CBA7D3081452E1",2015-02-11,20409.9737,32049.3244
"8",8,"https://www.myactivesg.com/facilities/school-facilities/commonwealth-secondary-school-field",NA,NA,NA,"Chargeable Field, Indoor Sports Hall","Football, Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Commonwealth Secondary School, Chargeable Field, Indoor Sports Hall, CF, ISH, Sport Singapore, Spor","608784","698 West Coast Road","Commonwealth Secondary School","8E5A1E00AC6DE288",2015-02-11,18241.9412,33496.5609
"9",9,"https://www.myactivesg.com/facilities/school-facilities/compassvale-secondary-school-field",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Compassvale Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","545083","51 Compassvale Crescent","Compassvale Secondary School","93400E944568BE9D",2015-02-11,35403.7471,42003.7804
"10",10,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field","Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Coral Primary School, Free To Play Field, FTP, Sport Singapore, SportSG, ActiveSG, Free Play","518902","20 Pasir Ris Street 51","Coral Primary School","0E506D6F5B3DB8A6",2015-02-11,41057.426,38939.4035
