"","Name","SCHOOL_NAME","HOUSE_BLOCK_NO","ROAD_NAME","POSTAL_CODE","FACILITIES","SPORTS_HALL_OPERATING_HRS","CHARGEABLE_FIELD_OPERATING_HRS","FREETOPLAY_FIELD_OPERATING_HRS","FREETOPLAY_COURT_OPERATING_HRS","OUTDOOR_COURT_OPERATING_HRS","STREET_SOCCER_OPERATING_HRS","INFORMATION_LINK","BOOKING_LINK","FACILITY_INFORMATION","INC_CRC","FMEL_UPD_D","Longitude","Latitude","Z"
"1","kml_1","BOWEN SECONDARY SCHOOL","2","LORONG NAPIRI","547529","Indoor Sports Hall/Chargeable Field","Sat: 3.00 pm to 9.00 pm; Sun: 9.00 am to 9.00 pm","Sat: 3.00 pm to 7.00 pm; Sun: 9.00 am to 7.00 pm","","","","","https://www.myactivesg.com/facilities","https://members.myactivesg.com","","25CB28DCC52AECFB","20170807162544",103.877459045221,1.37075107304667,0
"2","kml_2","BROADRICK SECONDARY SCHOOL","61","DAKOTA CRESCENT","399935","Chargeable Field","","Sat: 3.00 pm to 7.00 pm; Sun: 9.00 am to 7.00 pm","","","","","https://www.myactivesg.com/facilities","https://members.myactivesg.com","","9826D6B08947FEB9","20170807162544",103.88667542677,1.30750538584853,0
"3","kml_3","BUKIT MERAH SECONDARY SCHOOL","10","LENGKOK BAHRU","159050","Chargeable Field","","Sat: 3.00 pm to 7.00 pm; Sun: 9.00 am to 7.00 pm","","","","","https://www.myactivesg.com/facilities","https://members.myactivesg.com","","CD9BEAFA1F61CD7F","20170807162544",103.813023122518,1.28578414584726,0
"4","kml_4","BUKIT PANJANG GOVT. HIGH SCHOOL","7","CHOA CHU KANG AVE 4","689809","Indoor Sports Hall/Chargeable Field","Sat: 3.00 pm to 9.00 pm; Sun: 9.00 am to 9.00 pm","Sat: 3.00 pm to 7.00 pm; Sun: 9.00 am to 7.00 pm","","","","","https://www.myactivesg.com/facilities","https://members.myactivesg.com","","E0F9375F97D8B76E","20170807162544",103.738134425738,1.3821367197886,0
"5","kml_5","BUKIT PANJANG PRIMARY SCHOOL","109","CASHEW ROAD","679676","Indoor Sports Hall/Free-To-Play Field","Sat: 3.00 pm to 9.00 pm; Sun: 9.00 am to 9.00 pm","","Sat: 3.00 pm to 7.00 pm; Sun: 9.00 am to 7.00 pm","","","","https://www.myactivesg.com/facilities","https://members.myactivesg.com","","EE9502F59A51C91E","20170807162544",103.769317484383,1.37347218340638,0
"6","kml_6","BUKIT VIEW SECONDARY SCHOOL","16","BUKIT BATOK STREET 21","659633","Indoor Sports Hall/Chargeable Field","Sat: 3.00 pm to 9.00 pm; Sun: 9.00 am to 9.00 pm","Sat: 3.00 pm to 7.00 pm; Sun: 9.00 am to 7.00 pm","","","","","https://www.myactivesg.com/facilities","https://members.myactivesg.com","","40F9CDD6428B730A","20170807162544",103.752226596906,1.34573304803522,0
"7","kml_7","CANBERRA PRIMARY SCHOOL","21","ADMIRALTY DRIVE","757714","Indoor Sports Hall/Free-To-Play Field","Sat: 3.00 pm to 9.00 pm; Sun: 9.00 am to 9.00 pm","","Sat: 3.00 pm to 7.00 pm; Sun: 9.00 am to 7.00 pm","","","","https://www.myactivesg.com/facilities","https://members.myactivesg.com","","896092BEE7BEA920","20170807162544",103.815839484043,1.45130465742788,0
"8","kml_8","CANBERRA SECONDARY SCHOOL","51","SEMBAWANG DRIVE","757699","Chargeable Field","","Sat: 3.00 pm to 7.00 pm; Sun: 9.00 am to 7.00 pm","","","","","https://www.myactivesg.com/facilities","https://members.myactivesg.com","","A69D1002790701A0","20170807162544",103.814194901213,1.45322492265396,0
"9","kml_9","CANTONMENT PRIMARY SCHOOL","1","CANTONMENT CLOSE","88256","Indoor Sports Hall","Sat: 3.00 pm to 9.00 pm; Sun: 9.00 am to 9.00 pm","","","","","","https://www.myactivesg.com/facilities","https://members.myactivesg.com","","9402EC9CBF2A070E","20170807162544",103.839962634425,1.27547252831295,0
"10","kml_10","CASUARINA PRIMARY SCHOOL","30","PASIR RIS ST 41","518935","Free-To-Play Field","","","Sat: 3.00 pm to 7.00 pm; Sun: 9.00 am to 7.00 pm","","","","https://www.myactivesg.com/facilities","https://members.myactivesg.com","","038EA0FA538D9D08","20170807162544",103.957020289999,1.37246063782402,0
