"","OBJECTID","LANDYADDRE","LANDXADDRE","ADDRESSPOS","PHOTOURL","NAME","HYPERLINK","DESCRIPTIO","ADDRESSUNI","ADDRESSSTR","ADDRESSFLO","ADDRESSBUI","INC_CRC","FMEL_UPD_D","ADDRESSBLO","X_ADDR","Y_ADDR"
"1",1,39127.5335,32023.5559,555889,NA,"Serangoon Garden Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field, Indoor Sports Hall 
Sports 
Football, Badminton",NA,"21 Serangoon North Ave 1",NA,NA,"A373C43FB0F0BFD1",2014-04-17,NA,32023.5559,39127.5335
"2",2,35813.3616,17602.8945,609604,NA,"Shuqun Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field, Indoor Sports Hall 
Sports 
Football, Badminton",NA,"450 Jurong East St 21",NA,NA,"D15C8977647455C7",2014-04-17,NA,17602.8945,35813.3616
"3",3,36526.1709,16438.0818,609517,NA,"Jurong East Sports and Recreation Centre","http://www.icanbook.com.sg/","Opening Hours (Tennis / Squash courts) 
NA 
Opening Hours (Futsal Field) 
NA 
Opening Hours (Stadium) 
7.00am to 7.30pm 
Opening Hours (Sports Hall) 
7.00am - 10.00pm 
Facilities: 
Jurong East Sports Hall, Jurong East Stadium, Jurong East Swimming Comple",NA,"21 Jurong East Street 31 S(609517)",NA,NA,"587475188A525574",2014-04-17,NA,16438.0817,36526.1709
"4",4,31522.6119,20388.6901,127368,NA,"Kent Ridge Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field, Indoor Sports Hall 
Sports 
Football, Badminton",NA,"147 West Coast Road",NA,NA,"13636AB1992A68D3",2014-04-17,NA,20388.6901,31522.6118
"5",5,41334.6115,17749.5093,689333,NA,"Kranji Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field 
Sports 
Football",NA,"61 Choa Chu Kang Street 51",NA,NA,"980CD25E2E797A7A",2014-04-17,NA,17749.5093,41334.6115
"6",6,39182.5801,41646.0418,519419,NA,"Loyang Primary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Free To Play Field 
Sports 
Free Play",NA,"3 Pasir Ris Drive 6",NA,NA,"DCE19209600A3C64",2014-04-17,NA,41646.0417,39182.58
"7",7,46482.4188,21622.2165,739110,NA,"Marsiling Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field 
Sports 
Football",NA,"12 Marsiling Road",NA,NA,"FFD9C0F45648A959",2014-04-17,NA,21622.2165,46482.4188
"8",8,39858.8967,39600.0301,518799,NA,"Meridian Junior College","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Mon - Fri: 7.00 pm to 9.00 pm, Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm 
Facilities: 
Chargeable Field 
Sports 
Football",NA,"21 Pasir Ris Street 71",NA,NA,"6060F66926D8A65E",2014-04-17,NA,39600.0301,39858.8967
"9",9,39773.6208,39331.8267,518798,NA,"Meridian Primary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Free To Play Field 
Sports 
Free Play",NA,"20 Pasir Ris Street 71",NA,NA,"BD78D2A3B08091A7",2014-04-17,NA,39331.8267,39773.6207
"10",10,41410.8079,18510.275,689236,NA,"Choa Chu Kang Sports and Recreation Centre","http://www.icanbook.com.sg/","Opening Hours (Tennis / Squash courts) 
7.00am - 10.00pm 
Opening Hours (Futsal Field) 
NA 
Opening Hours (Stadium) 
7.00am - 10.00pm (Free admission for jogging from 4.30 am - 8.30 pm except when stadium is exclusively booked.) 
Opening Hours (Sports Ha",NA,"1 Choa Chu Kang Street 53 S(689236)",NA,NA,"0BAC30C453C535C5",2014-04-17,NA,18510.275,41410.8079
