ID,school_name,road_name,postal_code,facilities,Longitude,Latitude
1,Bukit Panjang Govt. High School,Choa Chu Kang Ave 4,689809,Indoor Sports Hall/Chargeable Field,103.7381344,1.38213672
2,Canberra Primary School,Admiralty Drive,757714,Indoor Sports Hall/Free-To-Play Field,103.8158395,1.451304657
3,Chij St. Joseph'S Convent,Sengkang East Way,548595,Indoor Sports Hall,103.9024632,1.391752281
4,Chua Chu Kang Secondary School,Teck Whye Crescent,688845,Chargeable Field,103.7518783,1.383190284
5,East Spring Primary School,Tampines St 33,529258,Indoor Sports Hall/Free-To-Play Field,103.9616718,1.352684002
6,Evergreen Primary School,Woodlands Circle,738908,Free-To-Play Field,103.7945453,1.444148354
7,Lakeside Primary School,Corporation Walk,618310,Indoor Sports Hall/Free-To-Play Field,103.7180505,1.338375694
8,Meridian Secondary School,Pasir Ris Street 51,518901,Indoor Sports Hall/Chargeable Field,103.9489725,1.367246846
9,Fajar Secondary School,Chestnut Drive,679301,Chargeable Field,103.7705758,1.368761206
10,Greenwood Primary School,Woodlands  Dr  62,737942,Indoor Sports Hall/Free-To-Play Field,103.8046293,1.440110488
11,Ang Mo Kio Primary School,Ang Mo Kio Avenue 3,569920,Indoor Sports Hall/Free-To-Play Field,103.8390414,1.369092058
12,Pioneer Junior College,Teck Whye Walk,688258,Chargeable Field,103.7539328,1.38460949
13,Poi Ching School,Tampines Street 71,529067,Indoor Sports Hall,103.9352465,1.357651219
14,Qihua Primary School,Woodlands Street 81,738525,Indoor Sports Hall,103.7883398,1.442035966
15,Rosyth School,Serangoon North Avenue 4,555855,Free-To-Play Field,103.8746932,1.372915794
16,Seng Kang Secondary School,Compassvale Lane,545090,Chargeable Field,103.898356,1.386588281
17,Sengkang Green Primary School,Fernvale Road,797636,Indoor Sports Hall/Free-To-Play Field,103.8749849,1.392540083
18,Woodlands Ring Primary School,Woodlands Ring Road,738240,Indoor Sports Hall,103.7974357,1.434952282
19,Yishun Primary School,Yishun Ring Road,768679,Indoor Sports Hall,103.8340274,1.433496392
20,Zhangde Primary School,Jalan Membina,169485,Indoor Sports Hall/Free-To-Play Field,103.8259519,1.284211539
21,Fajar Secondary School,Chestnut Drive,679301,Free-To-Play Court,103.7705758,1.368761206
22,St. Anthony'S Primary School,Bukit Batok St 32,659401,Indoor Sports Hall,103.7492519,1.364116759
