"","Name","FACILITIES","ROAD_NAME","CONTACT_NO","GYM","INC_CRC","FMEL_UPD_D","Longitude","Latitude"
"1","kml_1","Swimming Complex/Sports Hall/Gym","Tampines Avenue 4","Swimming Complex/Sports Hall/Gym: 62601160","1","B65C86F8B15817F0","20191217170517",103.940291907692,1.35307393800003
"2","kml_2","Swimming Complex/Sports Hall/Stadium/Tennis Centre/Gym","Pasir Ris Central","Swimming Complex: 65835523; Sports Hall: 65838557; Tennis Centre: 65832696; Gym: 65839891; Soccer Court: 65838557","1","FBB29B7DC5B8F1D4","20191217170517",103.951876990683,1.37428061390488
"3","kml_3","Swimming Complex/Stadium","Stirling Road","Swimming Complex/Stadium: 64737269","","A232E468594E4769","20191217170517",103.802458269823,1.29614751324854
"4","kml_4","Swimming Complex/Sports Hall/Gym/Hockey Pitch","Anchorvale Road","Swimming Complex/Sports Hall/Gym: 63153576","1","FF2F79498BB97A25","20191217170517",103.886672627879,1.39587903055305
"5","kml_5","Swimming Complex/ Stadium","Yio Chu Kang Road","Swimming Complex/Stadium: 62884606","","83E8FE10E3CB882A","20191217170517",103.87482408377,1.3563191826133
"6","kml_6","Swimming Complex/Sports Hall/Stadium/Gym","Lorong 6 Toa Payoh","Swimming Complex: 62594808; Sports Hall/Stadium/Gym/Petanque Court: 62592916","1","4BDFFDD00573FD35","20191217170517",103.851928444765,1.33035352641814
"7","kml_7","Swimming Complex/Sports Hall/Stadium/Gym","Woodlands Street 12","Swimming Complex: 62694192; Sports Hall: 63652707; Stadium: 62693892; Gym: 63629101","1","5FF51AB7DAA73FDD","20191217170517",103.78016272865,1.434714993011
"8","kml_8","Field/Tennis Centre","St Wilfred Road","Field/Tennis Centre/Squash Centre: 62933452","","B293338652437389","20191217170517",103.861581605288,1.32565286879325
"9","kml_9","Swimming Complex/Sports Hall/Stadium/Tennis Centre/Squash Centre/Gym","Ang Mo Kio Avenue 9","Swimming Complex: 64819054; Tennis Centre/Squash Centre/Gym: 64839370; Stadium/Sports Hall: 64824980","1","452D8F880FBE1DBA","20191217170517",103.846538492753,1.38264643998984
"10","kml_10","Sports Hall/Stadium/Gym","Yishun Avenue 1","Sports Hall/Stadium/Gym: 68518600; 68518601; 67567416","1","FF0F8067BE1C4223","20191217170517",103.832048373034,1.41244046589695
"11","kml_11","Swimming Complex","Yishun Avenue 3","Swimming Complex: 67525513","","A48D5A988C7092E7","20191217170517",103.834037914144,1.42361328157557
"12","kml_12","Sports Hall/Stadium/Swimming Complex/Tennis Centre/Squash Centre/Hockey Pitch","Evans Road","Swimming Complex/Sports Hall/ Stadium/Tennis Centre/Squash Centre/Hockey Pitch: 64688393","","246F4815DF9E8387","20191217170517",103.819438240378,1.31952937906138
"13","kml_13","Swimming Complex/Sports Hall/Gym/Hockey Pitch","Tiong Bahru Road","Swimming Complex: 64747573; Sports Hall: 64747472; Gym: 64719037","1","DC66B279F1A38010","20191217170517",103.820409504349,1.28952544549031
"14","kml_14","Gym","Lengkok Bahru","Gym: 62651292","1","33EE093322162EBF","20191217170517",103.814735726414,1.2868321701985
"15","kml_15","Swimming Complex","Aljunied Crescent Avenue 1","Swimming Complex: 67457175","","2CBCA4BA916FC7EE","20191217170517",103.888052675936,1.32099792048471
"16","kml_16","Field","Lorong 12 Geylang","Field: 63481291","","9C42A54F2C447F87","20191217170517",103.877980730078,1.31035537761643
