title,rating,category,address,Postal Code,website,phoneNumber,monday,tuesday,wednesday,thursday,friday,saturday,sunday,imgUrl,placeUrl,latitude,longitude,,
Jurong West ActiveSG Sports Centre,4.3,Sports complex,"20 Jurong West Street 93, Singapore 648965",648965,https://www.myactivesg.com/facilities/jurong-west-sports-centre,+65 6515 5331,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOruK9lNCH3uQo-MwYLHQAJJvimoCeaZvYCCXt0=w408-h306-k-no,https://www.google.com/maps/place/Jurong+West+ActiveSG+Sports+Centre/data=!4m7!3m6!1s0x31da0f9a82bb0513:0xd375d9c4ac268de2!8m2!3d1.3378059!4d103.6941925!16s%2Fm%2F0640rwc!19sChIJEwW7gpoP2jER4o0mrMTZddM,1.3378125,103.6941875,1,1
Ngee Ann Sports Complex,4.4,Sports complex,"535 Clementi Rd, Singapore 599489",599489,np.edu.sg,+65 6466 6555,Open 24 hours,Closed,Closed,Closed,Closed,Closed,8a.m.–8p.m.,https://lh5.googleusercontent.com/p/AF1QipO1diZF6ul7qg0TiixaDPmDcOOCDmaBHk-5lOA5=w408-h306-k-no,https://www.google.com/maps/place/Ngee+Ann+Sports+Complex/data=!4m7!3m6!1s0x31da1087de7d5255:0x2925fd3a198bf2!8m2!3d1.3356635!4d103.776741!16s%2Fg%2F1261q22w4!19sChIJVVJ93ocQ2jER8osZOv0lKQA,1.3356875,103.7766875,1,1
Bukit Gombak ActiveSG Sport Centre,4.3,Sports complex,"810 Bukit Batok West Ave. 5, Singapore 659088",659088,https://www.myactivesg.com/facilities/bukit-gombak-sports-centre,+65 6896 2193,7a.m.–9:30p.m.,7a.m.–9:30p.m.,7a.m.–9:30p.m.,7a.m.–9:30p.m.,7a.m.–9:30p.m.,7a.m.–9:30p.m.,7a.m.–9:30p.m.,https://lh5.googleusercontent.com/p/AF1QipPd978HjwN6hY23wQmsrnJ8wPpMxEWYmdcl_d5U=w408-h240-k-no-pi-31.145308-ya13.715322-ro8.915171-fo100,https://www.google.com/maps/place/Bukit+Gombak+ActiveSG+Sport+Centre/data=!4m7!3m6!1s0x31da1049fe5d272b:0x587ee1040d846383!8m2!3d1.359667!4d103.752228!16s%2Fg%2F11g6xqyb72!19sChIJKydd_kkQ2jERg2OEDQThflg,1.3596875,103.7521875,1,1
Clementi ActiveSG Sports Centre,4.1,Sports complex,"518 Clementi Ave 3, Clementi Sports Hall, Sports Complex, Singapore 129907",129907,https://www.myactivesg.com/facilities/clementi-sports-centre,+65 6776 2560,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,https://lh5.googleusercontent.com/p/AF1QipN6VMKxq2-WCqqV3DkfrThoL7zEMfO4zYU8GHl5=w426-h240-k-no,https://www.google.com/maps/place/Clementi+ActiveSG+Sports+Centre/data=!4m7!3m6!1s0x31da1a8d98421381:0x511ab103d397a8b1!8m2!3d1.311074!4d103.765017!16s%2Fg%2F1x6p_8sf!19sChIJgRNCmI0a2jERsaiX0wOxGlE,1.3110625,103.7650625,1,1
Choa Chu Kang ActiveSG Sports Centre,4.1,Sports complex,"1 Choa Chu Kang Street 53, Singapore 689236",689236,https://www.myactivesg.com/facilities/choa-chu-kang-sports-centre,+65 6767 1735,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,https://lh5.googleusercontent.com/p/AF1QipOu8h4qhZpRYsFqm60MsG7vWvkK-2NgKF21NPyx=w408-h306-k-no,https://www.google.com/maps/place/Choa+Chu+Kang+ActiveSG+Sports+Centre/data=!4m7!3m6!1s0x31da11edb9fd65fd:0x870202202748aef3!8m2!3d1.3910416!4d103.7481531!16s%2Fg%2F1w8w7j3n!19sChIJ_WX9ue0R2jER865IJyACAoc,1.3910625,103.7481875,1,1
Singapore Polytechnic Sports Complex,,Sports complex,"500 Dover Rd, Singapore 139651",139651,,,8a.m.–9p.m.,8a.m.–9p.m.,8a.m.–9p.m.,8a.m.–9p.m.,8a.m.–9p.m.,8a.m.–9p.m.,8a.m.–9p.m.,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=__g0_bgyEViB-yT5LFSdtw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=59.39496&pitch=0&thumbfov=100,https://www.google.com/maps/place/Singapore+Polytechnic+Sports+Complex/data=!4m7!3m6!1s0x31da1b0a143d7925:0xbe0e90a637ae6cfe!8m2!3d1.309163!4d103.7751244!16s%2Fg%2F11h1lqz4z7!19sChIJJXk9FAob2jER_myuN6aQDr4,1.3091875,103.7750625,1,1
Jurong East Sports Centre,4.2,Sports complex,"21 Jurong East Street 31, Singapore 609517",609517,https://www.myactivesg.com/facilities/jurong-east-sports-centre,+65 6563 5052,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNAv6GQAvEpwktun8qi-mH2XYb2Wqx1eSm48Mo=w408-h306-k-no,https://www.google.com/maps/place/Jurong+East+Sports+Centre/data=!4m7!3m6!1s0x31da10200aaf70d9:0x9cbffa36f037cc35!8m2!3d1.346998!4d103.729109!16s%2Fg%2F11r_p9246!19sChIJ2XCvCiAQ2jERNcw38Db6v5w,1.3469375,103.7290625,1,1
Bishan ActiveSG Sports Centre,4.1,Sports complex,"5 Bishan Street 14, Singapore 579783",579783,https://www.myactivesg.com/facilities/bishan-sports-centre,+65 6352 6631,7a.m.–9:30p.m.,7a.m.–9:30p.m.,7a.m.–9:30p.m.,7a.m.–9:30p.m.,7a.m.–9:30p.m.,7a.m.–9:30p.m.,7a.m.–9:30p.m.,https://lh5.googleusercontent.com/p/AF1QipNLCZZe1g99GXOOwmX1J36vSMG7f2atj4EPR44f=w431-h240-k-no,https://www.google.com/maps/place/Bishan+ActiveSG+Sports+Centre/data=!4m7!3m6!1s0x31da171a1ea97e09:0xe686d1bd812a620e!8m2!3d1.3555048!4d103.8509503!16s%2Fg%2F11c70cpz_n!19sChIJCX6pHhoX2jERDmIqgb3RhuY,1.3555625,103.8509375,1,2
MOE (Evans) ActiveSG Sports Hall,4.2,Sports complex,"21 Evans Rd, Singapore 259366",259366,https://www.myactivesg.com/Facilities/moe-evans-sports-hall,+65 6468 8393,6–10p.m.,6–10p.m.,6–10p.m.,6–10p.m.,6–10p.m.,2–10p.m.,8a.m.–10p.m.,https://lh5.googleusercontent.com/p/AF1QipNKL0_OMFd4VZP0tTZ19jyPy31qJL_nx-dLE-Iy=w408-h306-k-no,https://www.google.com/maps/place/MOE+(Evans)+ActiveSG+Sports+Hall/data=!4m7!3m6!1s0x31da1b6aa6ce81d7:0x93fbca1a125500c6!8m2!3d1.3185662!4d103.8186802!16s%2Fg%2F11g1y1k687!19sChIJ14HOpmob2jERxgBVEhrK-5M,1.3185625,103.8186875,1,1
Yio Chu Kang Sports And Recreation Centre,,Sports complex,"214 Ang Mo Kio Ave 9, Singapore 569780",569780,https://www.myactivesg.com/facilities/yio-chu-kang-sports-centre,,8a.m.–8:30p.m.,8a.m.–8:30p.m.,8a.m.–8:30p.m.,8a.m.–8:30p.m.,8a.m.–8:30p.m.,8a.m.–8:30p.m.,8a.m.–8:30p.m.,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OZmH7u596Y4WeIBC2HMB5Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=173.4522&pitch=0&thumbfov=100,https://www.google.com/maps/place/Yio+Chu+Kang+Sports+And+Recreation+Centre/data=!4m7!3m6!1s0x31da169543d8408b:0xb5c33b3f717a439f!8m2!3d1.383762!4d103.845894!16s%2Fg%2F11fnwhj_h7!19sChIJi0DYQ5UW2jERn0N6cT87w7U,1.3838125,103.8459375,1,1
