"","Name","SUBZONE_NO","SUBZONE_N","SUBZONE_C","CA_IND","PLN_AREA_N","PLN_AREA_C","REGION_N","REGION_C","INC_CRC","FMEL_UPD_D"
"1","kml_1","1","MARINA EAST","MESZ01","Y","MARINA EAST","ME","CENTRAL REGION","CR","4FB7E5B1B9455DE0","20191223152313"
"2","kml_2","5","INSTITUTION HILL","RVSZ05","Y","RIVER VALLEY","RV","CENTRAL REGION","CR","C3C22D1EE31757BD","20191223152313"
"3","kml_3","1","ROBERTSON QUAY","SRSZ01","Y","SINGAPORE RIVER","SR","CENTRAL REGION","CR","87306ABAF4B67E2E","20191223152313"
"4","kml_4","1","JURONG ISLAND AND BUKOM","WISZ01","N","WESTERN ISLANDS","WI","WEST REGION","WR","C87E378D3456FC35","20191223152313"
"5","kml_5","2","FORT CANNING","MUSZ02","Y","MUSEUM","MU","CENTRAL REGION","CR","8E8F2616FFA9E019","20191223152313"
"6","kml_6","5","MARINA EAST (MP)","MPSZ05","N","MARINE PARADE","MP","CENTRAL REGION","CR","B53EBCDBCF99A0B9","20191223152313"
"7","kml_7","3","SUDONG","WISZ03","N","WESTERN ISLANDS","WI","WEST REGION","WR","F718C723E08FBD51","20191223152313"
"8","kml_8","2","SEMAKAU","WISZ02","N","WESTERN ISLANDS","WI","WEST REGION","WR","052DA66CF07E9FEF","20191223152313"
"9","kml_9","2","SOUTHERN GROUP","SISZ02","N","SOUTHERN ISLANDS","SI","CENTRAL REGION","CR","69E4DC0E948CA0EA","20191223152313"
"10","kml_10","1","SENTOSA","SISZ01","N","SOUTHERN ISLANDS","SI","CENTRAL REGION","CR","BF42BFC834B5C379","20191223152313"
"11","kml_11","17","CITY TERMINALS","BMSZ17","N","BUKIT MERAH","BM","CENTRAL REGION","CR","3B584A6552569599","20191223152313"
"12","kml_12","10","ANSON","DTSZ10","Y","DOWNTOWN CORE","DT","CENTRAL REGION","CR","64CCF255D5D88DD3","20191223152313"
"13","kml_13","1","STRAITS VIEW","SVSZ01","Y","STRAITS VIEW","SV","CENTRAL REGION","CR","7BFD117B11503D17","20191223152313"
"14","kml_14","1","MARITIME SQUARE","BMSZ01","N","BUKIT MERAH","BM","CENTRAL REGION","CR","97D628BCCCE96805","20191223152313"
"15","kml_15","15","TELOK BLANGAH RISE","BMSZ15","N","BUKIT MERAH","BM","CENTRAL REGION","CR","E78FC6BA51F16BAF","20191223152313"
"16","kml_16","9","TANJONG PAGAR","DTSZ09","Y","DOWNTOWN CORE","DT","CENTRAL REGION","CR","4FFE6642FB35D40A","20191223152313"
"17","kml_17","16","EVERTON PARK","BMSZ16","N","BUKIT MERAH","BM","CENTRAL REGION","CR","CF9CAD50B0D9A528","20191223152313"
"18","kml_18","14","TELOK BLANGAH WAY","BMSZ14","N","BUKIT MERAH","BM","CENTRAL REGION","CR","0F0735F1BDDF53C7","20191223152313"
"19","kml_19","7","MAXWELL","DTSZ07","Y","DOWNTOWN CORE","DT","CENTRAL REGION","CR","7CEE617FDEF0DCD9","20191223152313"
"20","kml_20","8","CECIL","DTSZ08","Y","DOWNTOWN CORE","DT","CENTRAL REGION","CR","CFF27FB39876FD00","20191223152313"
"21","kml_21","11","KAMPONG TIONG BAHRU","BMSZ11","N","BUKIT MERAH","BM","CENTRAL REGION","CR","CF28DD4E7898CC7B","20191223152313"
"22","kml_22","13","TELOK BLANGAH DRIVE","BMSZ13","N","BUKIT MERAH","BM","CENTRAL REGION","CR","45A0C762C61CD09C","20191223152313"
"23","kml_23","14","PASIR PANJANG 2","QTSZ14","N","QUEENSTOWN","QT","CENTRAL REGION","CR","45FFDCC314E73BC1","20191223152313"
"24","kml_24","11","CENTRAL SUBZONE","DTSZ11","Y","DOWNTOWN CORE","DT","CENTRAL REGION","CR","8EFE9EC1AEF2DA0A","20191223152313"
"25","kml_25","5","SINGAPORE GENERAL HOSPITAL","BMSZ05","N","BUKIT MERAH","BM","CENTRAL REGION","CR","14ADFD60AD7D4564","20191223152313"
"26","kml_26","12","DEPOT ROAD","BMSZ12","N","BUKIT MERAH","BM","CENTRAL REGION","CR","C22DED671DE2A940","20191223152313"
"27","kml_27","2","BUKIT MERAH","BMSZ02","N","BUKIT MERAH","BM","CENTRAL REGION","CR","085EF219A5A1AEAD","20191223152313"
"28","kml_28","3","CHINATOWN","OTSZ03","Y","OUTRAM","OT","CENTRAL REGION","CR","EF2B9A91AF49E025","20191223152313"
"29","kml_29","4","PHILLIP","DTSZ04","Y","DOWNTOWN CORE","DT","CENTRAL REGION","CR","615D4EDDEF809F8E","20191223152313"
"30","kml_30","5","RAFFLES PLACE","DTSZ05","Y","DOWNTOWN CORE","DT","CENTRAL REGION","CR","72107B11807074F4","20191223152313"
"31","kml_31","4","CHINA SQUARE","OTSZ04","Y","OUTRAM","OT","CENTRAL REGION","CR","B609DF5587626C8F","20191223152313"
"32","kml_32","10","TIONG BAHRU","BMSZ10","N","BUKIT MERAH","BM","CENTRAL REGION","CR","A0FB4B68155D164A","20191223152313"
"33","kml_33","12","BAYFRONT SUBZONE","DTSZ12","Y","DOWNTOWN CORE","DT","CENTRAL REGION","CR","197F5E664DA4D5E1","20191223152313"
"34","kml_34","4","TIONG BAHRU STATION","BMSZ04","N","BUKIT MERAH","BM","CENTRAL REGION","CR","91FFE927ABE3E4DB","20191223152313"
"35","kml_35","6","CLIFFORD PIER","DTSZ06","Y","DOWNTOWN CORE","DT","CENTRAL REGION","CR","945CC212CA80626F","20191223152313"
"36","kml_36","1","MARINA SOUTH","MSSZ01","Y","MARINA SOUTH","MS","CENTRAL REGION","CR","67FE75A3AEF0E9CF","20191223152313"
"37","kml_37","1","PEARL'S HILL","OTSZ01","Y","OUTRAM","OT","CENTRAL REGION","CR","ED2536F8ABCA2B36","20191223152313"
"38","kml_38","3","BOAT QUAY","SRSZ03","Y","SINGAPORE RIVER","SR","CENTRAL REGION","CR","C35FEFF02B13E0E5","20191223152313"
"39","kml_39","8","HENDERSON HILL","BMSZ08","N","BUKIT MERAH","BM","CENTRAL REGION","CR","003CF156995CD34B","20191223152313"
