,Latitude,Longitude,Temperature,Rainfall
Paya Lebar,1.3524,103.9007,28.92096774,3.161290323
Tengah,1.3858,103.7114,27.13461538,3.212903226
Changi,1.3678,103.9826,27.4483871,3.219354839
Seletar,1.4166,103.8654,27.3483871,3.929032258
Tai Seng,1.3399,103.8878,27.52258065,4.587096774
Jurong West,1.3455,103.6806,26.93225806,3.329032258
Admiralty,1.4439,103.7854,27.01612903,5.238709677
Ang Mo Kio,1.3764,103.8492,27.25483871,7.561290323
Clementi,1.3337,103.7768,27.06129032,5.525806452
East Coast Parkway,1.3134,103.9619,27.82580645,2.122580645
Choa Chu Kang (South) ,1.3729,103.7224,27.37419355,3.632258065
Jurong Island,1.2542,103.6741,27.74782609,3.2
Marina Barrage,1.2799,103.8703,27.68387097,4.348387097
Newton,1.3106,103.8365,27.28571429,2.117241379
Pasir Panjang,1.281,103.754,27.51935484,4.167741935
Pulau Ubin,1.4168,103.9673,27.12592593,0.555555556
Sembawang,1.4252,103.8202,27.39354839,6.896774194
Sentosa Island,1.25,103.8279,28.23870968,4.5
Tuas South,1.2938,103.6184,27.63870968,3.535483871
